Width,Height,Node Radius,Channel Width,Run Number,Frame Number,Total Kinase,Total Phosphatase,Timestep,Patch Area,alpha_PIP,alpha_enzyme,k_mkon,p_mkon,k_koff,p_koff,k_mkcat,k_mKm,p_mkcat,p_mKm,Kinase in Solution,Phosphatase in Solution,Average Body X,Average Node 1 X,Average Node 2 X,Average Node 3 X,Average Node 4 X,Average All Nodes X
101,101,8,4,0,5000,20,300,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,5,168,0.06133777861221945,0.8980093318821144,0.008999361961244486,0.09768147009892081,0.08849170587299691,0.27329546745381905
101,101,8,4,0,10000,20,300,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,14,138,0.006465233908426947,0.791180308179431,0.00010799592845736764,6.553414436861479e-07,0.00022514893978075736,0.1978785270972782
101,101,8,4,0,15000,20,300,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,14,133,0.0009863481919297943,0.8447134326754256,1.4435891364258288e-08,7.159277461946165e-08,1.3360276948398416e-05,0.21118171974526004
101,101,8,4,0,20000,20,300,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,7,130,0.00965934918865906,0.9362805260614769,2.247412916468174e-08,8.55765159363702e-10,2.66095476308173e-08,0.2340701440002297
101,101,8,4,0,25000,20,300,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,7,137,0.02692757041272906,0.9877859944507406,2.8175184524266876e-07,2.7075926310927e-10,4.884887724876306e-08,0.24694658133055558
101,101,8,4,0,30000,20,300,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,10,127,0.012975673125433577,0.9664263826732655,2.9827793564960754e-07,5.612727684341976e-11,1.482891060132077e-07,0.24160670732410863
101,101,8,4,0,35000,20,300,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,17,118,7.350606955016502e-05,0.7246195538788663,1.6785598446066267e-06,3.1667822795771655e-11,1.4293920486430289e-08,0.18115531169107485
101,101,8,4,0,40000,20,300,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,14,127,0.0014243371768292953,0.8065515566139255,1.0704817930135932e-10,5.528818282291116e-13,4.2495972320066374e-11,0.20163788919100561
101,101,8,4,0,45000,20,300,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,14,127,0.0015881854797304557,0.7331132320213295,4.630256629453814e-10,1.0695280299095754e-11,4.1130517479998314e-10,0.1832783082265889
101,101,8,4,0,50000,20,300,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,15,133,0.00039985979415633886,0.9259957068755177,6.83048936899047e-10,3.2862164389201416e-12,1.6745981557147243e-11,0.23149892689464968
101,101,8,4,1,5000,20,300,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,10,154,0.03815004496231015,0.36739818100188865,0.12549996337187388,0.005450261572742995,0.3251549565244273,0.20587584061773326
101,101,8,4,1,10000,20,300,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,12,132,0.004884676367845297,0.9817518485969284,4.1974956605668236e-05,3.480145915162761e-08,0.00017712003966553617,0.24549274459866463
