"Total Kinase","Total Phosphatase","Timestep","Patch Length","dPIP","alphaEnzyme","k_mkon","k_koff","p_mkon","p_koff","k_mkcat","k_mKm","p_mkcat","p_mKm","Kinase in Solution","Phosphatase in Solution","Average Body X","Average Node 1 X","Average Node 2 X","Average Node 3 X","Average Node 4 X","Average All Nodes X"
"857.85344995924","962.7875334959463","0.01","0.5","3.0","0.2","0.040336159502275155","0.19603952667535876","0.3344885669577656","0.0796557446186687","10.0","0.5","15.0","0.5","847","116","0.014182449941911347","1.6619909227282544E-8","2.4566316263718287E-14","1.3701426511674806E-11","0.012015437328171579","0.0030038634904517004"
"134.23653339042295","909.7893642138424","0.01","0.5","3.0","0.2","0.04481886630737229","0.041404963156266954","0.09326676347966827","0.06571296997051954","10.0","0.5","15.0","0.5","54","266","0.0865103981566569","0.049740213363620805","0.13386877198081898","8.775891391199919E-4","1.6985143399655417E-6","0.046122068249474894"
"50.68215759858663","641.1385984069093","0.01","0.5","3.0","0.2","0.011085352046806874","0.049134288161944324","0.18313380825940598","0.0457281414975051","10.0","0.5","15.0","0.5","45","55","0.003527351750461612","1.078871245624883E-9","1.5448172711120626E-15","5.996187132161852E-16","0.4059308364382665","0.10148270937928489"
"909.4768863694933","900.5956533208652","0.01","0.5","3.0","0.2","0.09849113810274407","0.40914953842859964","0.053756922568307816","0.03658055727798828","10.0","0.5","15.0","0.5","906","240","6.779172219969983E-5","2.252472262572959E-11","4.333229767469151E-18","8.862079466211212E-18","0.2980766985409015","0.07451917464085656"
"395.7133644053694","176.46011992732636","0.01","0.5","3.0","0.2","0.032128879143903694","0.19064217641005188","0.10545453518545285","0.019389292963894595","10.0","0.5","15.0","0.5","349","2","0.17774499178855668","0.003448524937780685","0.6729398239585525","0.7471197531004325","0.2051766251912824","0.4071711817970117"
"571.6352408519421","450.6872143879682","0.01","0.5","3.0","0.2","0.0060715890767807906","0.4110325780191915","0.3679880642435728","0.08354327450491782","10.0","0.5","15.0","0.5","572","17","7.2732316606584E-10","3.160520841334987E-16","2.1550051652629265E-22","1.6139760696905225E-17","9.24526508421616E-8","2.3113162793588403E-8"
"732.8569510342502","727.5205913211213","0.01","0.5","3.0","0.2","0.06205643359145243","0.22736074723785854","0.03705028279568192","0.03533350548017377","10.0","0.5","15.0","0.5","700","234","0.02590544002331749","1.417153734976817E-10","4.0066497109573645E-7","0.9675209548216651","0.5112077534424847","0.36968227726770875"
"910.4855920515566","42.504245493764635","0.01","0.5","3.0","0.2","0.046854770541202365","0.14669728001433388","0.4912429367482924","0.07040392962040687","10.0","0.5","15.0","0.5","590","0","0.8934208033527106","0.8250376447766132","0.6378272923846524","0.09558051603797917","0.7097115096278748","0.5670392407067796"
"245.59002143897303","742.3260005216757","0.01","0.5","3.0","0.2","0.053243799810803245","0.11026001380947781","0.4993161205643637","0.04888432386718539","10.0","0.5","15.0","0.5","175","34","0.09384101367969375","0.03704567167847376","1.4433215693068132E-11","9.924571622695653E-5","0.016114424670923763","0.01331483552001443"
"945.7858713500246","792.9995170148109","0.01","0.5","3.0","0.2","0.024301782772586916","0.2309952912385777","0.12937677068877848","0.09557549282796929","10.0","0.5","15.0","0.5","946","191","1.0689753010983752E-8","1.6874139277946727E-19","8.725139148687939E-25","3.160508186124501E-19","1.1995888818174813E-5","2.9989722045438243E-6"
"857.85344995924","962.7875334959463","0.01","0.5","3.0","0.2","0.040336159502275155","0.19603952667535876","0.3344885669577656","0.0796557446186687","10.0","0.5","15.0","0.5","842","105","0.002900402618838233","0.8287069558495351","3.923831571201472E-21","8.464178263245571E-14","0.7864965829582192","0.4038008847019602"
"134.23653339042295","909.7893642138424","0.01","0.5","3.0","0.2","0.04481886630737229","0.041404963156266954","0.09326676347966827","0.06571296997051954","10.0","0.5","15.0","0.5","67","286","0.06795067842650829","0.08002248704984574","0.3598836490970077","5.971121940256507E-6","0.0622790862743487","0.1255477983857855"
"50.68215759858663","641.1385984069093","0.01","0.5","3.0","0.2","0.011085352046806874","0.049134288161944324","0.18313380825940598","0.0457281414975051","10.0","0.5","15.0","0.5","44","63","0.010775833561271937","5.870862870613819E-5","3.866336913936458E-13","3.173592234464982E-11","9.178733438742082E-5","3.7623998804028724E-5"
"909.4768863694933","900.5956533208652","0.01","0.5","3.0","0.2","0.09849113810274407","0.40914953842859964","0.053756922568307816","0.03658055727798828","10.0","0.5","15.0","0.5","901","257","1.5215533481759957E-4","0.06895294647436366","0.49859110256191236","3.4997447932507055E-16","3.795592713153179E-12","0.14188601226001762"
"395.7133644053694","176.46011992732636","0.01","0.5","3.0","0.2","0.032128879143903694","0.19064217641005188","0.10545453518545285","0.019389292963894595","10.0","0.5","15.0","0.5","340","2","0.2251403794498636","0.05295630354133303","0.005423286040273366","0.062053454507479004","0.6070474214097239","0.18187011637470238"
"571.6352408519421","450.6872143879682","0.01","0.5","3.0","0.2","0.0060715890767807906","0.4110325780191915","0.3679880642435728","0.08354327450491782","10.0","0.5","15.0","0.5","572","23","1.4302519115593636E-13","8.816722891689363E-16","6.81323064042931E-22","6.986353221897829E-20","3.520808121241737E-10","8.802042346675189E-11"
"732.8569510342502","727.5205913211213","0.01","0.5","3.0","0.2","0.06205643359145243","0.22736074723785854","0.03705028279568192","0.03533350548017377","10.0","0.5","15.0","0.5","687","241","0.06031727154604146","0.8489296282067158","2.00228385133998E-6","1.0791122968203942E-7","0.27919724834713394","0.28203224668723276"
"910.4855920515566","42.504245493764635","0.01","0.5","3.0","0.2","0.046854770541202365","0.14669728001433388","0.4912429367482924","0.07040392962040687","10.0","0.5","15.0","0.5","579","1","0.899740079302033","0.9999971787916219","0.05970369414262684","0.5243812519216653","0.9999730967799161","0.6460138054089574"
"945.7858713500246","792.9995170148109","0.01","0.5","3.0","0.2","0.024301782772586916","0.2309952912385777","0.12937677068877848","0.09557549282796929","10.0","0.5","15.0","0.5","946","200","1.9713446571668312E-23","2.3499533584717325E-21","2.0439552256649056E-29","8.877632419241292E-27","2.5010883681282846E-25","5.875530913451295E-22"
"245.59002143897303","742.3260005216757","0.01","0.5","3.0","0.2","0.053243799810803245","0.11026001380947781","0.4993161205643637","0.04888432386718539","10.0","0.5","15.0","0.5","184","37","0.055825156519572795","0.8810901091532861","8.346575212857647E-13","6.358458074952003E-5","0.4881434920831495","0.3423242964545049"
"134.23653339042295","909.7893642138424","0.01","0.5","3.0","0.2","0.04481886630737229","0.041404963156266954","0.09326676347966827","0.06571296997051954","10.0","0.5","15.0","0.5","68","250","0.048519326854499986","0.39818844076843685","0.2625917732499541","0.12485381996141237","0.18194087610933254","0.24189372752228408"
"50.68215759858663","641.1385984069093","0.01","0.5","3.0","0.2","0.011085352046806874","0.049134288161944324","0.18313380825940598","0.0457281414975051","10.0","0.5","15.0","0.5","42","44","0.013434426014067318","0.004389264444945026","3.48845175849307E-9","6.703471587995748E-12","5.007438799935675E-6","0.0010985688447250482"
"857.85344995924","962.7875334959463","0.01","0.5","3.0","0.2","0.040336159502275155","0.19603952667535876","0.3344885669577656","0.0796557446186687","10.0","0.5","15.0","0.5","832","111","0.010883521363861656","0.8971467229331094","4.1567371153204444E-19","8.053917301701698E-9","0.4816134220200441","0.3446900382517679"
"909.4768863694933","900.5956533208652","0.01","0.5","3.0","0.2","0.09849113810274407","0.40914953842859964","0.053756922568307816","0.03658055727798828","10.0","0.5","15.0","0.5","903","235","2.1628151631954083E-4","0.43476539182779234","4.6490231589448875E-19","8.839557814342226E-18","1.9082389105612655E-9","0.10869134843400782"
"395.7133644053694","176.46011992732636","0.01","0.5","3.0","0.2","0.032128879143903694","0.19064217641005188","0.10545453518545285","0.019389292963894595","10.0","0.5","15.0","0.5","369","2","0.11104182803622518","0.8008393151064995","0.0015905031445022986","0.7162591101558377","4.471750692574589E-5","0.379683411478441"
"571.6352408519421","450.6872143879682","0.01","0.5","3.0","0.2","0.0060715890767807906","0.4110325780191915","0.3679880642435728","0.08354327450491782","10.0","0.5","15.0","0.5","572","24","1.1823826513229736E-16","7.101913871101629E-14","1.1261495657599393E-22","1.8765429348400952E-22","4.093616330930415E-17","1.7765018793648717E-14"
"732.8569510342502","727.5205913211213","0.01","0.5","3.0","0.2","0.06205643359145243","0.22736074723785854","0.03705028279568192","0.03533350548017377","10.0","0.5","15.0","0.5","691","224","0.06228489101218627","6.723609662119513E-4","0.18791522778222788","0.7990850447554604","8.140464489839251E-7","0.24691836188758715"
"910.4855920515566","42.504245493764635","0.01","0.5","3.0","0.2","0.046854770541202365","0.14669728001433388","0.4912429367482924","0.07040392962040687","10.0","0.5","15.0","0.5","610","2","0.8743737829222606","0.9999995195255721","0.5512738368762865","0.8382932553717647","0.998895872666596","0.847115621110055"
"945.7858713500246","792.9995170148109","0.01","0.5","3.0","0.2","0.024301782772586916","0.2309952912385777","0.12937677068877848","0.09557549282796929","10.0","0.5","15.0","0.5","946","208","3.3517880668156164E-17","2.839828282982218E-25","9.907360519151977E-24","1.529210441601319E-18","1.2356525383864498E-17","3.471436504202291E-18"
"245.59002143897303","742.3260005216757","0.01","0.5","3.0","0.2","0.053243799810803245","0.11026001380947781","0.4993161205643637","0.04888432386718539","10.0","0.5","15.0","0.5","172","34","0.08164886364454992","4.7777049621937774E-4","7.42923901332119E-15","3.958546034992821E-6","0.6771135578323175","0.16939882171864476"
