Width,Height,Node Radius,Channel Width,Run Number,Frame Number,Total Kinase,Total Phosphatase,Timestep,Patch Area,alpha_PIP,alpha_enzyme,k_mkon,p_mkon,k_koff,p_koff,k_mkcat,k_mKm,p_mkcat,p_mKm,Kinase in Solution,Phosphatase in Solution,Average Body X,Average Node 1 X,Average Node 2 X,Average Node 3 X,Average Node 4 X,Average All Nodes X
101,101,8,4,0,5000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,5,75,0.019914543106537626,0.3333389989012207,0.2059360029085976,0.5025259930124085,0.16193885864967894,0.3009349633679763
101,101,8,4,0,10000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,2,69,0.01182836032076512,0.9604742436578279,0.1095964411696206,0.3050622390596291,5.123093617116231e-05,0.3437960387058123
101,101,8,4,0,15000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,10,79,0.0032921152811287817,0.8834374959879266,2.9326177742379536e-08,0.2629318534640671,1.1152628974017756e-07,0.2865923725761153
101,101,8,4,0,20000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,7,68,0.0010461578900795901,0.8901634646609754,1.688799056411603e-07,2.1030390211280924e-07,3.1321830838944596e-08,0.2225409687916535
101,101,8,4,0,25000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,6,65,0.00018816279868521493,0.8543623181484994,2.153207573562115e-10,2.3082087467263057e-11,1.3303916108474066e-10,0.21359057962998534
101,101,8,4,0,30000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,7,68,0.004932930951115642,0.9294922104543237,2.6589274825714985e-09,9.31646534362668e-12,3.290838619538967e-08,0.23237306150773848
101,101,8,4,0,35000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,12,61,0.00017226003361757732,0.7869301666462087,5.565841934459211e-07,3.1112687092002434e-08,8.00365657610793e-07,0.19673288867718672
101,101,8,4,0,40000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,10,60,0.00014287542500940022,0.8031115005311803,2.166162390693672e-10,1.0749676218426589e-10,2.0565307436978442e-08,0.2007778803551502
101,101,8,4,0,45000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,10,71,0.0003342456886967341,0.8599454820871354,5.722564768488736e-10,8.426077261278933e-12,3.3620260804365348e-09,0.21498637150746103
101,101,8,4,0,50000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,8,70,0.013282003891743577,0.8692718365023825,2.6611327676579564e-09,1.3148496908125336e-11,2.9622370936235364e-08,0.21731796719975868
101,101,8,4,0,55000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,8,66,0.004394022086117725,0.8070209136671267,1.5407234012261818e-07,1.7479456299974046e-09,1.6040581092987098e-06,0.2017556683863805
101,101,8,4,0,60000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,8,70,0.008773314452874149,0.9670745762899243,8.002138247041378e-08,1.7562872255016106e-08,1.6230477631609052e-07,0.2417687090447388
101,101,8,4,0,65000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,6,67,0.006714083386359295,0.9821949452967247,1.54393271961065e-05,2.2417402973608003e-09,1.2997457574481636e-08,0.24555259996577963
101,101,8,4,0,70000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,8,60,0.016873547149294628,0.9753079960678089,1.7062551834009144e-07,8.829705206923641e-10,2.215210228352547e-07,0.2438270972743302
101,101,8,4,0,75000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,6,52,0.001137143633502378,0.9110076273737279,4.832359081195087e-06,5.404300104870163e-10,5.704424810802692e-08,0.22775312932937178
101,101,8,4,0,80000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,9,59,7.715392267696063e-05,0.8664056003129328,4.338560181066437e-09,1.278590602472709e-10,2.346192433299765e-07,0.21660145984964885
101,101,8,4,0,85000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,8,65,0.00027640393307478724,0.8328821490840894,4.647826248069499e-10,1.8294865942232036e-11,1.7536090430603914e-09,0.20822053783019395
101,101,8,4,0,90000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,6,72,0.0029829715505294957,0.9540628369409966,1.956804997871382e-08,9.573385322928975e-10,2.4683219317486625e-07,0.23851577607464458
101,101,8,4,0,95000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,7,70,0.00461600994993588,0.9701365655160645,1.3929325962079465e-05,2.439289780950662e-08,2.9738436784669397e-06,0.24253837326965072
101,101,8,4,0,100000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,6,52,0.014746344739761101,0.9858671559507477,2.7051817442993715e-07,6.276754126402223e-09,2.1051858018430486e-07,0.24646691081606412
101,101,8,4,1,5000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,4,83,0.03589967619959589,0.6599505519268439,0.0014893163568716738,0.2851637217763993,0.3688373786510473,0.32886024217779036
101,101,8,4,1,10000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,10,73,0.016337756612536038,0.775363573543086,1.185607871295087e-05,0.11146147181245648,0.0005032046412859007,0.22183502651888537
101,101,8,4,1,15000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,3,66,0.019335601628087007,0.8239561030443758,1.7511816668948054e-08,0.13148380292966624,1.6311638140068035e-06,0.23886038866241824
101,101,8,4,1,20000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,8,55,0.0022512875448832902,0.7084415003346175,7.316000349589079e-05,0.0010784848543043525,2.785095006609301e-07,0.1773983559254796
101,101,8,4,1,25000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,7,61,0.0060931657586761065,0.9496545211028609,9.87580878680737e-07,0.00030866110703461956,1.4289039786580417e-07,0.23749107817029305
101,101,8,4,1,30000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,8,70,0.0031799060339884797,0.9171657877173134,2.4067180566583045e-07,2.2947376754061673e-06,1.1080110545699701e-07,0.22929210848197495
101,101,8,4,1,35000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,7,72,0.012975960182112802,0.8729168231209348,0.0003834301573857082,3.8589594698058214e-10,9.015073195239222e-07,0.218325288792884
101,101,8,4,1,40000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,7,64,0.0035160747405095266,0.8628678927683455,0.00010473472409246618,3.6466622731551206e-07,2.6289092900431995e-07,0.21574331376239855
101,101,8,4,1,45000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,10,66,0.00031392910053797027,0.7705418887158484,1.1795464910922099e-07,5.067526057857705e-10,1.177397042512028e-08,0.19263550473780514
