Width,Height,Node Radius,Channel Width,Run Number,Frame Number,Total Kinase,Total Phosphatase,Timestep,Patch Area,alpha_PIP,alpha_enzyme,k_mkon,p_mkon,k_koff,p_koff,k_mkcat,k_mKm,p_mkcat,p_mKm,Kinase in Solution,Phosphatase in Solution,Average Body X,Average Node 1 X,Average Node 2 X,Average Node 3 X,Average Node 4 X,Average All Nodes X
101,101,8,4,0,5000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,3,90,0.07910097213427315,0.7128055540688145,0.001367999397136447,0.0007326179266698861,0.01972317075854893,0.18365733553779243
101,101,8,4,0,10000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,8,67,0.019342618270503185,0.5834453435166689,1.5227187662310525e-06,8.999151268710337e-07,0.0010833160677631687,0.1461327705545813
101,101,8,4,0,15000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,9,58,0.0399493686001779,0.18769133059584994,1.198812321920109e-06,5.591670605782763e-06,0.0020111932019146,0.04742732857017305
101,101,8,4,0,20000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,6,58,0.07410474071378767,0.001878617538647395,8.292985738716639e-08,1.680682267639188e-05,0.0020990263076404933,0.000998633399705417
101,101,8,4,0,25000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,8,70,0.04782799228707804,0.0016081687317539685,1.0106029308944148e-07,4.1852558488107006e-08,0.055369328177005996,0.014244409955402893
101,101,8,4,0,30000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,6,53,0.04669593525734496,1.241624956123227e-06,8.457582237304162e-06,9.413155498499423e-07,0.010798217256039138,0.0027022144446956038
101,101,8,4,0,35000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,6,72,0.04853763065495326,2.398608248308354e-06,1.322253674974264e-06,0.00017166564931872904,0.0033221404101997755,0.0008743817303604468
101,101,8,4,0,40000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,12,64,0.018509077617718757,1.5945110383117854e-06,2.8074779639865295e-07,0.009661859365444803,0.00046582441389473044,0.0025323897595435603
101,101,8,4,0,45000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,15,68,1.7707323990320527e-06,1.6856740837252631e-09,9.438965529401349e-08,7.206370157805401e-07,1.8032135621007228e-06,6.549814768147505e-07
101,101,8,4,0,50000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,15,66,5.876137958693367e-12,7.462413606725886e-13,1.2052381199335134e-12,4.719093809066011e-11,6.718423690124332e-11,2.9081663618127378e-11
101,101,8,4,1,5000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,2,79,0.05473746691672891,0.8525605289567916,0.0017831060557659203,0.0005556232621459538,0.3498182995686709,0.30117938946084355
101,101,8,4,1,10000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,3,66,0.014528121393308353,0.9642396794685117,1.481456525600395e-06,9.975702596250717e-06,0.5611470008942149,0.3813495343804621
101,101,8,4,1,15000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,6,77,0.0019297471938509525,0.9258175206839702,5.821243511918072e-08,4.6857744163652363e-08,0.2734376006595604,0.2998138066034275
101,101,8,4,1,20000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,5,74,0.0044406276291513985,0.9588191758212004,1.8905809280670713e-09,8.897773167699754e-09,0.5253380014024802,0.3710392970030086
101,101,8,4,1,25000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,4,79,0.011539155955152846,0.9716115094960707,2.731043648738874e-09,7.186475423832726e-07,0.300986518866452,0.3181496874352772
101,101,8,4,1,30000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,6,74,0.004446396070317907,0.8603207071065502,3.108576196762432e-09,2.407251017241479e-07,0.6373560792785242,0.3744192575546881
101,101,8,4,1,35000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,9,69,0.004898873780144986,0.7963375670894813,5.725408312903404e-09,8.514416576388852e-09,0.44672965902713324,0.31076681008910995
101,101,8,4,1,40000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,4,62,0.006124602771328284,0.6653429671068816,3.0062147647206406e-08,3.6134135927530985e-09,0.9860715512799644,0.4128536380156018
101,101,8,4,1,45000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,3,68,0.014335423599088636,0.7564593066176084,1.8185430794380078e-09,4.10221973582544e-07,0.9435352285952076,0.42499873681333306
101,101,8,4,1,50000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,7,63,0.009130293590028201,0.7490990533840941,7.426574391539339e-09,1.0098428983437312e-05,0.7770511244858286,0.38154007093137
101,101,8,4,2,5000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,5,91,0.05606889853913553,0.37074446247272064,0.15878539478452558,0.1321868342953701,0.1290295056242671,0.1976865492942209
101,101,8,4,2,10000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,7,70,0.010537763994620059,0.9652957252233422,0.08954726694285611,7.598389104729849e-07,0.000720314296576148,0.2638910165754212
101,101,8,4,2,15000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,10,68,0.0005705605351664374,0.6868260294102748,0.0017816340811303488,2.849619684473919e-09,3.153953177070425e-07,0.17215199543408563
101,101,8,4,2,20000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,10,65,0.00024322280289995325,0.7095407412259324,3.86851180809379e-08,2.2009899792300823e-11,4.0324190604898443e-07,0.1773852957937416
