Width,Height,Node Radius,Channel Width,Run Number,Frame Number,Total Kinase,Total Phosphatase,Timestep,Patch Area,alpha_PIP,alpha_enzyme,k_mkon,p_mkon,k_koff,p_koff,k_mkcat,k_mKm,p_mkcat,p_mKm,Kinase in Solution,Phosphatase in Solution,Average Body X,Average Node 1 X,Average Node 2 X,Average Node 3 X,Average Node 4 X,Average All Nodes X
101,101,8,4,0,5000,8,120,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,1,35,0.029364348017287396,0.5784238244724171,0.10095584639185608,0.09952615493714188,0.11407850651355245,0.22324608307874186
101,101,8,4,0,10000,8,120,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,2,25,0.05358933333740801,0.15600452991554023,0.04477897728060252,1.6565073510088775e-05,0.057187490769463355,0.06449689075977906
101,101,8,4,0,15000,8,120,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,3,24,0.07586861829954357,8.147162884723904e-05,0.0004979261838733918,0.0003783779190932293,0.13192059160788772,0.0332195918349254
101,101,8,4,0,20000,8,120,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,3,29,0.031735110391630135,0.00016938776229602877,6.697254225489148e-05,2.238131242284913e-05,0.20701054302536823,0.05181732116058553
101,101,8,4,0,25000,8,120,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,2,29,0.04101796881767014,7.38623166965701e-05,2.903483355778518e-06,1.162435524062114e-05,0.18029355917961423,0.0450954873337268
101,101,8,4,0,30000,8,120,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,4,31,0.02688678312878195,0.0001260528552968944,1.96558456551256e-06,3.334792925526991e-05,0.22765586893813483,0.056954308826813155
101,101,8,4,0,35000,8,120,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,4,29,0.04651006028166852,6.510812099205208e-06,5.8729091785396486e-08,7.053088430688604e-05,0.007518004146988143,0.0018987761431215051
101,101,8,4,0,40000,8,120,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,0,33,0.03189212288839263,0.0003024697670512291,8.412854127186747e-07,1.899991826054559e-05,0.22565922756966242,0.05649538463509676
101,101,8,4,0,45000,8,120,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,2,28,0.016668073977639045,1.0759201980298516e-05,2.0257997388251798e-06,6.447101015964801e-06,0.84955159112661,0.21239270580733635
101,101,8,4,0,50000,8,120,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,4,21,0.013266820909411982,6.098156141239012e-05,3.907482392722312e-07,3.1908352558502827e-06,0.7357833256455248,0.18396197219760815
101,101,8,4,0,55000,8,120,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,4,21,0.026120448400205682,0.0009810468262520715,3.6026067276896105e-07,3.339996978266077e-05,0.5263494272716237,0.13184105858208273
101,101,8,4,0,60000,8,120,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,4,19,0.004948739368849563,8.711871451007463e-05,4.97967908409046e-08,9.583640371872214e-05,0.8847244636424976,0.22122686713937925
