Width,Height,Node Radius,Channel Width,Run Number,Frame Number,Total Kinase,Total Phosphatase,Timestep,Patch Area,alpha_PIP,alpha_enzyme,k_mkon,p_mkon,k_koff,p_koff,k_mkcat,k_mKm,p_mkcat,p_mKm,Kinase in Solution,Phosphatase in Solution,Average Body X,Average Node 1 X,Average Node 2 X,Average Node 3 X,Average Node 4 X,Average All Nodes X
101,101,8,4,0,5000,20,250,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,6,134,0.055710959467207104,0.2633151201687331,0.9037467288057113,0.0030976476442184696,0.9146732795685509,0.5212081940468034
101,101,8,4,0,10000,20,250,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,10,103,0.014139531434040793,0.09159989346901061,0.7997886191422277,2.336684785693087e-08,0.9703510746871621,0.46543490266631193
101,101,8,4,0,15000,20,250,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,9,102,0.003066276144923602,9.400637843333778e-09,0.7644940558522711,2.4041993206512e-08,0.9559994617806182,0.4301233877688799
101,101,8,4,0,20000,20,250,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,9,93,0.004587029003098588,1.0602219472506623e-07,0.8282264910066625,1.2742742224722768e-07,0.5471439514101313,0.34384266896660265
101,101,8,4,0,25000,20,250,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,11,96,0.005023630553554063,3.174842360085426e-08,0.9823028059464449,1.2929731692663247e-09,0.13469110043490715,0.27924848485568726
101,101,8,4,0,30000,20,250,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,6,112,0.01567290851345485,1.5236429464718398e-07,0.9109397629991367,1.5622947656193172e-08,0.9556466584994986,0.4666466473714693
101,101,8,4,0,35000,20,250,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,9,110,0.011408197500920198,0.00161006985481553,0.7278313637290765,1.4622313066276377e-06,0.9736009456678765,0.42576096037076866
101,101,8,4,0,40000,20,250,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,10,102,0.0016607450130897393,8.886182757295199e-09,0.6391176761095316,1.4247636095438135e-06,0.9125644559101492,0.38792089141736846
101,101,8,4,0,45000,20,250,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,6,104,0.0014222952317175597,2.6081369887758733e-06,0.7621138365906536,1.8180508476654416e-10,0.9423394352296173,0.42611397003476625
101,101,8,4,0,50000,20,250,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,11,89,0.0031808148724438885,3.385573959638721e-08,0.765852791877284,1.9585455228968081e-10,0.5286537109469333,0.3236266342189528
101,101,8,4,1,5000,20,250,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,3,126,0.03172935914207801,0.9142650820396068,0.001938242536419319,0.022135839444722034,0.9395671736932816,0.46947658442850754
101,101,8,4,1,10000,20,250,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,9,104,0.014432956357014531,0.8834621134847451,7.188379660108374e-07,3.264110238602708e-08,0.8823214678725724,0.44144608320909634
101,101,8,4,1,15000,20,250,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,9,98,0.0037544707881068755,0.9574339016763546,1.6578911348890473e-08,2.204586253397085e-09,0.9208837760019537,0.46957942411545145
101,101,8,4,1,20000,20,250,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,11,98,0.0154423928610907,0.9291913592199367,4.514041841992781e-09,1.801195868677191e-08,0.9645604253931497,0.47343795178477177
101,101,8,4,1,25000,20,250,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,7,106,0.014768502576438742,0.9826155729844042,2.066162223286033e-08,6.6347011356867845e-09,0.9533783986207451,0.4839984997253681
101,101,8,4,1,30000,20,250,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,11,86,0.006484707447252655,0.9026380139211552,1.1403819791086363e-06,5.41257583425453e-10,0.9379292584498243,0.4601421033235538
101,101,8,4,1,35000,20,250,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,14,103,0.004302956397758118,0.9126053288726712,2.262532678472317e-08,5.388517907472812e-10,0.9003497131627888,0.45323876629990956
101,101,8,4,1,40000,20,250,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,13,87,0.002406962427614927,0.8839581751243746,4.4927842977180223e-10,1.641451781590927e-08,0.9008917634066527,0.446212488848706
101,101,8,4,1,45000,20,250,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,7,89,0.006757679358957513,0.9665168943606072,2.005213850512563e-09,3.345094090696742e-09,0.9581023179950243,0.4811548044264847
101,101,8,4,1,50000,20,250,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,7,100,0.005389813729245435,0.967457867506181,3.585435467748424e-09,1.4882419848832289e-09,0.8484258552985126,0.4539709319695928
101,101,8,4,2,5000,20,250,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,5,119,0.055528187868203155,0.004271721877783409,0.01378892900286818,0.012886762015101947,0.6089548835807488,0.1599755741191256
101,101,8,4,2,10000,20,250,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,9,110,0.009009249006342824,0.08851649346416095,0.0022105969628583343,6.52535488241591e-07,0.6702809483219108,0.19025217282110451
