Width,Height,Node Radius,Channel Width,Run Number,Frame Number,Total Kinase,Total Phosphatase,Timestep,Patch Area,alpha_PIP,alpha_enzyme,k_mkon,p_mkon,k_koff,p_koff,k_mkcat,k_mKm,p_mkcat,p_mKm,Kinase in Solution,Phosphatase in Solution,Average Body X,Average Node 1 X,Average Node 2 X,Average Node 3 X,Average Node 4 X,Average All Nodes X
101,101,8,4,0,5000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,4,83,0.05804538005406038,0.0151340529473195,0.14153394236873576,0.0030352650298630926,0.2888976833359139,0.11215023592045813
101,101,8,4,0,10000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,6,73,0.022480993122596993,0.0001176053847607505,0.11223344566568129,6.336099642249073e-05,0.7299016702702937,0.21057902057928962
101,101,8,4,0,15000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,9,66,0.0005134851453834074,1.718352810068556e-08,2.374582979696916e-05,1.4528223484116589e-07,0.9030002086851932,0.22575602924518828
101,101,8,4,0,20000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,8,55,0.001594727837800035,6.639367732418181e-11,5.833404335603703e-09,4.651504540941739e-09,0.9544976838192837,0.23862442359264668
101,101,8,4,0,25000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,12,65,0.00640796536395864,1.8344771927653162e-09,3.397532528059675e-11,1.3711525241333811e-08,0.9405201495536997,0.2351300412834194
101,101,8,4,0,30000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,8,68,0.0010202071599096918,2.6858109068271774e-07,6.387413409861715e-10,2.147189686901584e-08,0.9556459857096472,0.23891156910034406
101,101,8,4,0,35000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,5,71,0.010144996334755657,4.3793036865018294e-08,1.7228407478241046e-10,3.6819955281933014e-08,0.9340693581344549,0.23351735972993284
101,101,8,4,0,40000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,7,59,0.017130378425888017,0.0001182370589886945,3.1439380605123285e-08,2.2432666143705096e-07,0.49174772446420756,0.12296655432230959
101,101,8,4,0,45000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,7,71,0.00019046408867358738,6.20460950963456e-07,4.936336094482157e-09,3.0642936753195214e-08,0.8535250350834067,0.21338142278090766
101,101,8,4,0,50000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,3,72,0.035633945894566144,1.5643159284609204e-07,5.45179206408568e-09,3.051856666280928e-05,0.8794335843292022,0.21986606619481244
101,101,8,4,0,55000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,5,74,0.01343759546273211,3.191098210860348e-06,6.016590996658548e-07,9.662868476060485e-05,0.9483555191428916,0.23711398514624069
101,101,8,4,0,60000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,10,80,0.0018056059173173935,1.4441981881801248e-06,2.8431643899077565e-07,1.6905867840968747e-07,0.8921750790337043,0.22304424415175247
101,101,8,4,0,65000,15,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,8,68,0.007440581883783151,1.3217809885575351e-07,1.1714696152509188e-09,7.789194463356738e-09,0.9659297454631942,0.24148247165048925
