Width,Height,Node Radius,Channel Width,Run Number,Frame Number,Total Kinase,Total Phosphatase,Timestep,Patch Area,alpha_PIP,alpha_enzyme,k_mkon,p_mkon,k_koff,p_koff,k_mkcat,k_mKm,p_mkcat,p_mKm,Kinase in Solution,Phosphatase in Solution,Average Body X,Average Node 1 X,Average Node 2 X,Average Node 3 X,Average Node 4 X,Average All Nodes X
101,101,8,4,0,5000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,81,2,0.9192191503202741,0.8855673014383924,0.9996956129038962,0.7659897758820485,0.999163033564118,0.9126039309471135
101,101,8,4,0,10000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,75,1,0.8828545860919986,0.8613418807568408,0.9807046046543002,0.8370219095336042,0.99999933708685,0.9197669330078991
101,101,8,4,0,15000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,73,3,0.8992976179964988,0.9990227253535613,0.9976798397299854,0.8288842565578379,0.9999986833412794,0.9563963762456659
101,101,8,4,0,20000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,76,4,0.9151964599063035,0.9999446720761114,0.9709019518811419,0.9801476808459836,0.9999996036662552,0.987748477117373
101,101,8,4,0,25000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,71,8,0.9542032280102912,0.9999996620337824,0.8945062859621594,0.9993848288638746,0.9999999347425154,0.9734726779005827
101,101,8,4,0,30000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,66,6,0.9361834139390295,0.9999728868926285,0.9982993639725548,0.9995312421563494,0.999999946678461,0.9994508599249984
101,101,8,4,0,35000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,69,9,0.951910130090287,0.999946938788378,0.9997478576783676,0.9999207615662137,0.9999998797577512,0.9999038594476778
101,101,8,4,0,40000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,61,8,0.9380781588922985,0.999918569743391,0.9972650383623258,0.9999997004060313,0.9999981339870444,0.9992953606246984
101,101,8,4,0,45000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,66,8,0.9512092474937331,0.9997948579319137,0.9984475677207129,0.9999996331202454,0.9999994798147034,0.9995603846468937
101,101,8,4,0,50000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,68,9,0.9310126145796616,0.9998764533542311,0.9993927101798512,0.9999987639025031,0.9999991378847464,0.9998167663303327
101,101,8,4,0,55000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,70,3,0.9195343592874528,0.9998815148459497,0.9882411692676485,0.9999972065113419,0.9999914682735183,0.9970278397246142
101,101,8,4,0,60000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,69,5,0.8980531120934602,0.9999668558076781,0.957035937570055,0.9999769943733695,0.9996184657311695,0.9891495633705683
101,101,8,4,0,65000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,66,1,0.9044027420705643,0.9999921472970977,0.5635482328370058,0.9999982758239107,0.9971484878297746,0.890171785946947
101,101,8,4,0,70000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,62,1,0.9244697101519439,0.9999941567112014,0.4244693979076299,0.9999895307167733,0.998596333104803,0.855762354610102
101,101,8,4,0,75000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,70,8,0.966592088349483,0.9999860918879767,0.14396363975596593,0.9999979731940642,0.9967697953715726,0.7851793750523952
101,101,8,4,0,80000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,60,9,0.9866756426835144,0.9998987993263851,0.13444339493451848,0.9999995706889686,0.9999999897952717,0.7835854386862856
101,101,8,4,0,85000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,71,5,0.9861708687671479,0.9998770800292012,0.12580958778107676,0.9999999788213104,0.9999998603689653,0.7814216267501388
101,101,8,4,0,90000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,62,7,0.9812746457561641,0.9999978263428985,0.09294813025638765,0.9999999262307885,0.9999998007156908,0.7732364208864414
101,101,8,4,0,95000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,62,4,0.9407769776154185,0.9999712881770985,0.3118842355107453,0.9998061662807372,0.9999989359235644,0.8279151564730364
101,101,8,4,0,100000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,75,3,0.9180474884696461,0.9999661634810376,0.3125454885002991,0.9998562655019064,0.9999860727151425,0.8280884975495963
101,101,8,4,1,5000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,72,4,0.9564462779555752,0.6610386646252261,0.9999774336599218,0.8343512442681295,0.15057979488579784,0.6614867843597689
101,101,8,4,1,10000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,71,8,0.9861534216278857,0.999203167392912,0.9999985118251593,0.9904693989816651,0.24288300275340272,0.8081385202382849
101,101,8,4,1,15000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,63,9,0.9998102865006475,0.9999998570635323,0.9999999945921695,0.9999999951232255,0.16401256796768723,0.7910031036866537
101,101,8,4,1,20000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,65,6,0.999195156374909,0.9999999991536762,0.999999999980399,0.9999999990818144,0.04953601056102217,0.7623840021942278
101,101,8,4,1,25000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,70,7,0.982871141926864,0.9999999805102043,0.9999999999459205,0.9999999660716344,0.17591502977158138,0.7939787440748353
101,101,8,4,1,30000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,57,7,0.9938802683186714,0.9999999844932915,0.9999999998028615,0.9999999792964922,0.044240819887514875,0.7610601958700398
101,101,8,4,1,35000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,67,5,0.9653631583651666,0.9999998808207768,0.9999999993339099,0.9999973719388847,0.008582810973066105,0.7521450157666592
101,101,8,4,1,40000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,65,6,0.974694524830489,0.9999994363347636,0.9999999953342719,0.9999888544387394,0.03710029495439556,0.7592721452655427
101,101,8,4,1,45000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,67,8,0.9816284456401624,0.9999986606927734,0.9999999963218125,0.9999991170873489,0.023591384845435943,0.755897289736843
101,101,8,4,1,50000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,76,8,0.9659968399917227,0.9999999617032199,0.9999999566035991,0.9998874093908879,0.11562088094187735,0.7788770521598963
101,101,8,4,1,55000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,60,4,0.9364345338513065,0.9999999082397152,0.9999975842768888,0.9996152699132997,0.5453021180571583,0.8862287201217655
101,101,8,4,1,60000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,73,2,0.9181796824311516,0.9999997252896851,0.9999641847954247,0.9922386361338175,0.6763738836619163,0.9171441074702106
101,101,8,4,1,65000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,68,2,0.9070452014593163,0.9999989346980346,0.9917370102066948,0.9994537745437622,0.5230381443628859,0.8785569659528444
101,101,8,4,1,70000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,69,3,0.935182384379274,0.9999955703894584,0.9674301795577529,0.9998921071243343,0.3183727518117651,0.8214226522208274
101,101,8,4,1,75000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,64,7,0.9724982314879534,0.9999992569501736,0.9999701959115114,0.999987173432224,0.13090692376854057,0.7827158875156124
101,101,8,4,1,80000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,70,2,0.9261091915684259,0.9999997455064156,0.9999999927498041,0.9999449334613173,0.012855730428413856,0.7532001005364878
101,101,8,4,1,85000,200,15,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,63,7,0.9734019992662188,0.999751493682142,0.999999893432436,0.999999775986906,0.14536690085633805,0.7862795159894554
