Width,Height,Node Radius,Channel Width,Run Number,Frame Number,Total Kinase,Total Phosphatase,Timestep,Patch Area,alpha_PIP,alpha_enzyme,k_mkon,p_mkon,k_koff,p_koff,k_mkcat,k_mKm,p_mkcat,p_mKm,Kinase in Solution,Phosphatase in Solution,Average Body X,Average Node 1 X,Average Node 2 X,Average Node 3 X,Average Node 4 X,Average All Nodes X
101,101,8,4,0,5000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,8,79,0.062311206161218755,0.5320942441385689,0.018399433547868823,0.25806402932645056,0.12441759679302102,0.2332438259514772
101,101,8,4,0,10000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,12,76,0.023036775425696557,0.8535466091945535,0.0026133280439020285,0.000660661172114312,0.0054856149187418645,0.2155765533323279
101,101,8,4,0,15000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,7,60,0.026564155312646564,0.9929054391788037,0.00021672904843491713,8.360170068252578e-06,3.581930088952463e-05,0.24829158692454917
101,101,8,4,0,20000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,12,63,0.006663819609195683,0.8971709734463176,1.3154098111459131e-06,7.900360269726833e-09,5.5384989932151205e-08,0.22429308803536976
101,101,8,4,0,25000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,14,60,0.0016920724718420769,0.780765078665548,4.989192000841049e-09,1.0976248405208403e-09,2.541143602668427e-08,0.1951912775409502
101,101,8,4,0,30000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,12,52,0.01849456336814205,0.5277596851137737,2.364423070458204e-08,3.410939827469491e-10,4.634667894365165e-09,0.1319399284334416
101,101,8,4,0,35000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,5,61,0.011910453954854652,0.8386241318094896,2.795428369826219e-06,3.483439459217638e-08,4.769597418740538e-07,0.20965685975799894
101,101,8,4,0,40000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,6,71,0.03519731002680081,0.8595635930322353,1.1868413561549148e-07,5.10493898883498e-08,8.597325417693053e-07,0.2148911556245756
101,101,8,4,0,45000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,13,56,0.060025666907059426,0.7096424314568217,7.0005798842864935e-06,3.2841425414731888e-09,2.3100661453072486e-05,0.17741813399557538
101,101,8,4,0,50000,20,200,0.001,25,0.08,200,0.01,0.0005,4.0,0.2,2000.0,0.1,8000.0,0.4,8,79,0.08408501396844942,0.9932702412456722,3.178040997688279e-05,1.4502909704018486e-07,7.923410392570499e-05,0.248345350197168
